insight_id;timestamp;supplier_id;supplier_name;region;country;theme;severity;insight_desc
1;2025.11.23;1;Global Textiles Co., Ltd.;East Asia;China;ESG Social;High;Recent labor unrest in Vietnam’s textile sector—including button‑factory strikes and zipper‑component protests—poses a high risk of workforce disruptions that could affect Global Textiles’ production continuity and reputation.
2;2025.11.23;1;Global Textiles Co., Ltd.;East Asia;China;ESG Environment;Medium;Vietnam’s new sustainability tariffs on nylon imports and tighter water‑use regulations require Global Textiles to upgrade its environmental controls to avoid penalties and maintain market access.
3;2025.11.23;1;Global Textiles Co., Ltd.;East Asia;China;Business Code of Conduct;Medium;"Corruption and mis‑declaration scandals reported in peer Vietnamese textile firms highlight governance vulnerabilities;Global Textiles should strengthen anti‑bribery policies and third‑party audits."
4;2025.11.23;1;Global Textiles Co., Ltd.;East Asia;China;Delivery Performance;Medium;Frequent infrastructure disruptions from typhoons, floods and road‑bridge collapses in Vietnam increase the likelihood of shipment delays for Global Textiles’ orders.
5;2025.11.23;1;Global Textiles Co., Ltd.;East Asia;China;Certification & Audit;Low;"Emerging EU Digital Product Passport mandates may require Global Textiles to obtain traceability certifications;early adoption can mitigate future compliance risks."
1;2025.11.23;60;Chittagong Knitwear Enterprise;South Asia;Bangladesh;ESG Governance;Medium;Recent sector-wide investigations reveal bribery for permits and tax incentives in Bangladesh textile firms, raising risk that Chittagong Knitwear could face similar compliance scrutiny.
2;2025.11.23;60;Chittagong Knitwear Enterprise;South Asia;Bangladesh;Workplace Safety & Health;High;Bangladeshi garment factories have failed safety audits, with fire and structural hazards reported, indicating Chittagong Knitwear may be exposed to severe occupational safety liabilities.
3;2025.11.23;60;Chittagong Knitwear Enterprise;South Asia;Bangladesh;ESG Environment;Medium;Untreated dye effluent discharges are common in Bangladesh mills, potentially breaching local water quality regulations and harming community ecosystems linked to Chittagong Knitwear operations.
4;2025.11.23;60;Chittagong Knitwear Enterprise;South Asia;Bangladesh;ESG Social;Medium;Labor unions report wage disputes and excessive overtime in Bangladeshi textile plants, suggesting Chittagong Knitwear could encounter worker unrest and reputational damage.
5;2025.11.23;60;Chittagong Knitwear Enterprise;South Asia;Bangladesh;Certification & Audit;Medium;"EU’s upcoming Digital Product Passport mandate requires traceability;current gaps in Bangladesh’s audit infrastructure may impede Chittagong Knitwear’s market access."
1;2025.11.23;100;Colombo Knitwear & Exports (Pvt.) Ltd.;South Asia;Sri Lanka;ESG Environment;High;"Recent severe flooding in Sri Lanka damaged silk inventory (2024-09-08), highlighting the supplier’s exposure to extreme weather and potential water‑related operational disruptions;recommend climate‑resilience measures and enhanced water‑management protocols."
2;2025.11.23;100;Colombo Knitwear & Exports (Pvt.) Ltd.;South Asia;Sri Lanka;Delivery Performance;Medium;"A container‑stack collapse at Colombo’s main port (2024-11-25) delayed cotton apparel shipments, indicating vulnerability in logistics;advise contingency routing and buffer stock to mitigate export delays."
3;2025.11.23;100;Colombo Knitwear & Exports (Pvt.) Ltd.;South Asia;Sri Lanka;ESG Social;Medium;"Regional labor unrest in neighboring Bangladesh and India (e.g., Bangladesh cotton strike 2024-08-10, India polyester export duty 2024-11-04) raises reputational risk;implement robust worker‑rights audits and grievance mechanisms."
4;2025.11.23;100;Colombo Knitwear & Exports (Pvt.) Ltd.;South Asia;Sri Lanka;Business Code of Conduct;High;Industry‑wide corruption cases (e.g., Fujian Fabric Works bribery 2024-12-19, Shandong Textile CEO resignation 2025-02-28) underscore need for strict anti‑kickback policies and third‑party due diligence at Colombo Knitwear.
5;2025.11.23;100;Colombo Knitwear & Exports (Pvt.) Ltd.;South Asia;Sri Lanka;Certification & Audit;Low;"No public record of ISO 14001 or SA8000 certification for Colombo Knitwear;pursuing these standards will improve ESG credibility and align with upcoming EU Digital Product Passport requirements."
1;2025.11.23;24;Shandong Textile Supply Chain;East Asia;China;ESG Social;High;Recent expose revealed subcontractors in Shandong Textile Supply Chain employed under‑age workers in hazardous conditions, exposing the group to severe child‑labor and human‑rights violations.
2;2025.11.23;24;Shandong Textile Supply Chain;East Asia;China;Certification & Audit;Medium;Advertising campaigns were removed after regulators found Shandong Textile Supply Chain overstated recycled‑content percentages, undermining credibility of sustainability claims and risking legal action.
3;2025.11.23;24;Shandong Textile Supply Chain;East Asia;China;ESG Environment;High;A wastewater treatment failure caused uncontrolled release of caustic chemicals into a nearby river, prompting an emergency shutdown and highlighting major environmental compliance breaches.
4;2025.11.23;24;Shandong Textile Supply Chain;East Asia;China;ESG Environment;Medium;Internal reports show the company is unable to process large volumes of fabric scrap, leading to stockpiled waste that threatens local landfill capacity and reflects weak circular‑economy practices.
5;2025.11.23;24;Shandong Textile Supply Chain;East Asia;China;ESG Environment;Medium;Energy audit criticized Shandong Textile Supply Chain for continued reliance on natural‑gas drying, delaying transition to renewable heat sources and increasing carbon intensity.
1;2025.11.24;78;Phu Quoc Textile & Trading Ltd.;Southeast Asia;Vietnam;ESG Social;High;Phu Quoc Textile faces serious labor‑rights concerns after accusations of union suppression, firing organizers and intimidation, indicating non‑compliance with fundamental worker freedoms.
2;2025.11.24;78;Phu Quoc Textile & Trading Ltd.;Southeast Asia;Vietnam;ESG Environment;High;The company operates an unlicensed chemical discharge pit and illegally dumps toxic residues, breaching environmental regulations and posing significant local ecosystem risks.
3;2025.11.24;78;Phu Quoc Textile & Trading Ltd.;Southeast Asia;Vietnam;Certification & Audit;High;Settlement over misleading “Zero Waste” marketing revealed ongoing landfill disposal of non‑hazardous waste, indicating false sustainability claims and inadequate waste‑management practices.
4;2025.11.24;78;Phu Quoc Textile & Trading Ltd.;Southeast Asia;Vietnam;ESG Environment;Medium;Government warning highlights Phu Quoc’s heavy reliance on imported coal for steam generation, resulting in high carbon intensity that may breach upcoming national emissions standards.
5;2025.11.24;78;Phu Quoc Textile & Trading Ltd.;Southeast Asia;Vietnam;ESG Governance;High;Customs suspended its export license for repeated false product classification and investigations into bribery to expedite rail freight, exposing governance failures and corruption risks.
1;2025.11.24;70;Vietnam Textile & Fibre JSC;Southeast Asia;Vietnam;ESG Social;Medium;Recent labor union strikes at a major button assembly plant and worker safety protests in nearby factories signal rising social unrest that could disrupt production and damage reputation.
2;2025.11.24;70;Vietnam Textile & Fibre JSC;Southeast Asia;Vietnam;ESG Governance;Low;Vietnam's government announced temporary export bans on raw button materials and reduced export taxes on denim, creating shifting compliance requirements that the supplier must monitor to avoid penalties.
3;2025.11.24;70;Vietnam Textile & Fibre JSC;Southeast Asia;Vietnam;ESG Environment;Medium;"Environmental NGOs and local fishermen have protested water pollution from textile effluents, while recent typhoon damage highlights vulnerability;the supplier faces heightened scrutiny on wastewater treatment and climate resilience."
4;2025.11.24;70;Vietnam Textile & Fibre JSC;Southeast Asia;Vietnam;Delivery Performance;High;Combined impacts of civil unrest, strikes, and typhoon‑induced infrastructure damage have caused transport bottlenecks, risking delayed shipments and increased lead times for downstream buyers.
5;2025.11.24;70;Vietnam Textile & Fibre JSC;Southeast Asia;Vietnam;Certification & Audit;Medium;The company has not publicly disclosed third‑party ESG certifications or recent audit results, exposing a gap that could trigger buyer due‑diligence queries and potential contract restrictions.
1;2025.11.24;72;Ho Chi Minh Garment Group;Southeast Asia;Vietnam;ESG Social;High;"Recent labor union strike at a major Vietnamese button assembly plant (2024‑09‑02) highlights growing worker‑rights tensions;similar factories in Ho Chi Minh Garment Group’s supply base could face work‑hour disputes, risking production delays and reputational damage."
2;2025.11.24;72;Ho Chi Minh Garment Group;Southeast Asia;Vietnam;ESG Governance;Medium;Vietnam’s reduction of export taxes on finished denim (effective 2024‑10‑02) improves price competitiveness but may pressure Ho Chi Minh Garment Group to adjust pricing strategies and ensure compliance with new fiscal reporting requirements.
