insight_id;timestamp;supplier_name;region;country;insight_desc;supplier_id;product_category;1;2025-11-24;59;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;All;Certified audit score 58 is far below ESG environment/social/governance scores (93‑95) and delivery/quality metrics (>90), indicating limited third‑party verification despite strong internal performance.
1.0;2025-11-24;Karachi Textile & Exports (Pvt.) Ltd.;South Asia;Pakistan;Certified audit coverage is low (score 58) while code‑of‑conduct compliance is high (95), indicating potential buyer concerns if full third‑party certification is required.;87;Cotton;;;;;;;;
2.0;2025-11-24;Karachi Textile & Exports (Pvt.) Ltd.;South Asia;Pakistan;Timely delivery (93), product quality (95) and service reliability (92) scores show Karachi Textile can reliably meet cotton supply schedules and quality expectations.;87;Cotton;;;;;;;;
3.0;2025-11-24;Karachi Textile & Exports (Pvt.) Ltd.;South Asia;Pakistan;ESG environment (94), social (95) and governance (93) ratings are high, reflecting strong sustainability and governance practices despite limited audit depth.;87;Cotton;;;;;;;;
4.0;2025-11-24;Karachi Textile & Exports (Pvt.) Ltd.;South Asia;Pakistan;No cotton tariff entries, but US tariff reductions on other textiles and China’s 2025 restrictions on cotton processing financing may shift demand toward Pakistani cotton exporters like Karachi Textile.;87;Cotton;;;;;;;;
5.0;2025-11-24;Karachi Textile & Exports (Pvt.) Ltd.;South Asia;Pakistan;Risk rating is Low and there is no adverse news targeting Pakistan or this supplier, indicating a stable operating environment with minimal ESG or geopolitical disruptions.;87;All;;;;;;;;
;2025-11-25;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;;59;All;2.0;2025-11-24;59.0;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;Cotton;Bangladesh civil unrest (labor strike Aug 10, transport protests Aug 18) directly disrupted cotton exports and logistics, posing short‑term supply interruptions for the supplier’s cotton line.
;2025-11-25;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;;59;All;3.0;2025-11-24;59.0;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;All;Tropical storm (Oct 08) and flash floods (Nov 07) damaged infrastructure for button and linen producers, indicating vulnerability of transport and power networks that the supplier relies on for all product shipments.
;2025-11-25;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;;59;All;4.0;2025-11-24;59.0;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;All;Exports of cotton, nylon and zipper to Japan (5‑6% tariffs) and India (7‑8% tariffs) face significant duties, whereas US/EU markets are duty‑free, reducing price competitiveness in high‑tariff regions.
;2025-11-25;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;;59;All;5.0;2025-11-24;59.0;Dhaka Textiles & Apparel (Pvt.) Ltd.;South Asia;Bangladesh;Nylon;"Large fire (Dec 13) destroyed a nylon weaving facility, highlighting operational risk for the supplier’s nylon product;combined with 6‑8% tariffs, margin pressure may increase."
1;2025-11-24;Mumbai Textile Mills (Pvt.) Ltd.;South Asia;India;"Supplier scores are high (certified 98, code conduct 93) and risk rating low;recent sustainability actions (green loan for biomass boilers, silk traceability tags, banana‑fiber yarns, 85% water‑saving dyeing, expanded recycling) show strong ESG momentum.";79;All;;;;;;;;
2;2025-11-24;Mumbai Textile Mills (Pvt.) Ltd.;South Asia;India;Local community protests in India have blocked rail access to a silk weaving cluster (2024‑09‑17), posing a potential disruption to Mumbai Textile Mills’ silk transport and delivery timelines.;79;Silk;;;;;;;;
3;2025-11-24;Mumbai Textile Mills (Pvt.) Ltd.;South Asia;India;A tropical storm on 2024‑10‑08 damaged critical infrastructure for button manufacturers in Bangladesh, creating risk of delayed shipments from Mumbai Textile Mills to its Bangladeshi buyers.;79;Button;;;;;;;;
4;2025-11-24;Mumbai Textile Mills (Pvt.) Ltd.;South Asia;India;Flash floods reported 2024‑11‑07 in a major Bangladeshi linen manufacturing zone may interrupt receipt and processing of linen exports from Mumbai Textile Mills.;79;Linen;;;;;;;;
5;2025-11-24;Mumbai Textile Mills (Pvt.) Ltd.;South Asia;India;"No tariff entries are present for silk, linen or button between India and Bangladesh, indicating currently no recorded import duties;however, monitor upcoming trade policy updates.";79;All;;;;;;;;
