date;supplier_name;country;region;product;unit_price;uom;volume;currency;value
2024.07.31;Global Textiles Co., Ltd.;China;East Asia;Linen;17598.76;MT;3722.011;USD;65502759
2024.08.31;Global Textiles Co., Ltd.;China;East Asia;Linen;15190.22;MT;4113.801;USD;62489555
2024.09.30;Global Textiles Co., Ltd.;China;East Asia;Linen;16369.45;MT;4241.032;USD;69423344
2024.10.31;Global Textiles Co., Ltd.;China;East Asia;Linen;17570.56;MT;4442.986;USD;78065744
2024.11.30;Global Textiles Co., Ltd.;China;East Asia;Linen;13196.01;MT;4412.693;USD;58229921
2024.12.31;Global Textiles Co., Ltd.;China;East Asia;Linen;16468.27;MT;4604.549;USD;75828959
2025.01.31;Global Textiles Co., Ltd.;China;East Asia;Linen;16091.53;MT;3453.412;USD;55570671
2025.02.28;Global Textiles Co., Ltd.;China;East Asia;Linen;16492.06;MT;2877.843;USD;47461554
2025.03.31;Global Textiles Co., Ltd.;China;East Asia;Linen;12157.03;MT;4039.078;USD;49103183
2025.04.30;Global Textiles Co., Ltd.;China;East Asia;Linen;13019.54;MT;4241.032;USD;55216302
2025.05.31;Global Textiles Co., Ltd.;China;East Asia;Linen;17506.91;MT;3958.297;USD;69297532
2025.06.30;Global Textiles Co., Ltd.;China;East Asia;Linen;13159.87;MT;3715.952;USD;48901443
2024.07.31;Global Textiles Co., Ltd.;China;East Asia;Button;7584.50;MT;2114.827;USD;16039908
2024.08.31;Global Textiles Co., Ltd.;China;East Asia;Button;9325.98;MT;2337.441;USD;21798923
2024.09.30;Global Textiles Co., Ltd.;China;East Asia;Button;8616.18;MT;2409.733;USD;20762685
2024.10.31;Global Textiles Co., Ltd.;China;East Asia;Button;7518.01;MT;2524.482;USD;18979082
2024.11.30;Global Textiles Co., Ltd.;China;East Asia;Button;9504.19;MT;2507.269;USD;23829576
2024.12.31;Global Textiles Co., Ltd.;China;East Asia;Button;9167.64;MT;2616.281;USD;23985134
2025.01.31;Global Textiles Co., Ltd.;China;East Asia;Button;6969.64;MT;1962.211;USD;13675905
2025.02.28;Global Textiles Co., Ltd.;China;East Asia;Button;8036.77;MT;1635.176;USD;13141526
2025.03.31;Global Textiles Co., Ltd.;China;East Asia;Button;9633.24;MT;2294.984;USD;22108129
2025.04.30;Global Textiles Co., Ltd.;China;East Asia;Button;9771.41;MT;2409.733;USD;23546479
2025.05.31;Global Textiles Co., Ltd.;China;East Asia;Button;7372.52;MT;2249.084;USD;16581424
2025.06.30;Global Textiles Co., Ltd.;China;East Asia;Button;8630.01;MT;2111.385;USD;18221263
2024.07.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1757.14;MT;130126.154;USD;228650476
2024.08.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1360.74;MT;143823.644;USD;195706692
2024.09.30;Global Textiles Co., Ltd.;China;East Asia;Polyester;1616.27;MT;148271.798;USD;239647126
2024.10.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1355.86;MT;155332.359;USD;210609633
2024.11.30;Global Textiles Co., Ltd.;China;East Asia;Polyester;1749.76;MT;154273.275;USD;269940696
2024.12.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1712.10;MT;160980.809;USD;275614990
2025.01.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1514.24;MT;120735.607;USD;182822571
2025.02.28;Global Textiles Co., Ltd.;China;East Asia;Polyester;1336.64;MT;100613.006;USD;134483410
2025.03.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1355.81;MT;141211.236;USD;191455795
2025.04.30;Global Textiles Co., Ltd.;China;East Asia;Polyester;1412.62;MT;148271.798;USD;209451603
2025.05.31;Global Textiles Co., Ltd.;China;East Asia;Polyester;1425.04;MT;138387.011;USD;197206793
2025.06.30;Global Textiles Co., Ltd.;China;East Asia;Polyester;1894.39;MT;129914.337;USD;246108230
2024.07.31;Silk Road Manufacturing Group;China;East Asia;Cotton;7487.95;MT;18771.146;USD;140557486
2024.08.31;Silk Road Manufacturing Group;China;East Asia;Cotton;8650.53;MT;20747.056;USD;179473001
2024.09.30;Silk Road Manufacturing Group;China;East Asia;Cotton;8420.52;MT;21388.717;USD;180104067
2024.10.31;Silk Road Manufacturing Group;China;East Asia;Cotton;9559.15;MT;22407.228;USD;214194127
2024.11.30;Silk Road Manufacturing Group;China;East Asia;Cotton;9282.49;MT;22254.451;USD;206576752
2024.12.31;Silk Road Manufacturing Group;China;East Asia;Cotton;9224.48;MT;23222.036;USD;214211259
2025.01.31;Silk Road Manufacturing Group;China;East Asia;Cotton;9915.79;MT;17416.527;USD;172698610
2025.02.28;Silk Road Manufacturing Group;China;East Asia;Cotton;9853.70;MT;14513.772;USD;143014303
2025.03.31;Silk Road Manufacturing Group;China;East Asia;Cotton;7560.56;MT;20370.207;USD;154010225
2025.04.30;Silk Road Manufacturing Group;China;East Asia;Cotton;8702.68;MT;21388.717;USD;186139220
2025.05.31;Silk Road Manufacturing Group;China;East Asia;Cotton;10139.07;MT;19962.803;USD;202404214
2025.06.30;Silk Road Manufacturing Group;China;East Asia;Cotton;8369.99;MT;18740.590;USD;156858491
