report_id;date;importer;exporter;product;uom;volume;currency;value;unit_price
4366;2025.01.31;United States;China;Buckles;MT;100478.739;USD;597174284;5943.29
4880;2025.02.28;United States;China;Buckles;MT;100427.213;USD;558215838;5432.46
3649;2024.12.31;China;Vietnam;Cotton;MT;67619.736;USD;155112692;2293.9
7521;2024.07.31;United States;China;Buckles;MT;66086.474;USD;622920430;9425.84
2969;2024.10.31;China;Vietnam;Cotton;MT;64408.45;USD;149708280;2324.36
9545;2024.11.30;India;China;Buckles;MT;63332.861;USD;46781224;738.66
8568;2024.09.30;United States;China;Buckles;MT;61615.288;USD;620131896;10064.58
667;2025.03.31;China;Vietnam;Cotton;MT;59675.044;USD;155855707;2611.74
8048;2024.08.31;United States;China;Buckles;MT;59594.18;USD;633607962;10632.04
5405;2025.03.31;United States;China;Buckles;MT;59474.516;USD;491914507;6292.47
3302;2024.11.30;China;Vietnam;Cotton;MT;59254.583;USD;139698936;2357.61
1994;2024.07.31;China;Vietnam;Cotton;MT;58906.415;USD;144255632;2448.9
16;2025.01.31;China;Vietnam;Cotton;MT;57469.776;USD;146167305;2543.38
10146;2024.12.31;United States;China;Buckles;MT;55095.28;USD;602395919;10933.71
1004;2025.04.30;China;Vietnam;Cotton;MT;54543.925;USD;141049987;2585.99
9098;2024.10.31;United States;China;Buckles;MT;54517.037;USD;583024241;10694.35
2315;2024.08.31;China;Vietnam;Cotton;MT;54065.429;USD;130260567;2409.31
1326;2025.05.31;China;Vietnam;Cotton;MT;53827.483;USD;136384331;2533.73
2649;2024.09.30;China;Vietnam;Cotton;MT;53748.513;USD;125323580;2331.67
11177;2024.12.31;Bangladesh;India;Cotton;MT;52978.855;USD;159883967;3017.88
9623;2024.11.30;United States;China;Buckles;MT;51657.69;USD;539374360;10441.32
10401;2025.02.28;Bangladesh;India;Cotton;MT;51084.022;USD;104786803;2051.26
1660;2025.06.30;China;Vietnam;Cotton;MT;50052.929;USD;129406008;2585.38
7000;2025.06.30;United States;China;Buckles;MT;49719.285;USD;558213653;10933.63
11097;2024.11.30;Bangladesh;India;Cotton;MT;47798.113;USD;145195568;3037.68
11014;2024.10.31;Bangladesh;India;Cotton;MT;47068.994;USD;146085020;3103.64
10934;2024.09.30;Bangladesh;India;Cotton;MT;46030.777;USD;141508358;3074.21
10784;2024.07.31;Bangladesh;India;Cotton;MT;45078.597;USD;139383215;3092
659;2025.03.31;China;India;Cotton;MT;45005.9;USD;88394685;1964.07
10475;2025.03.31;Bangladesh;India;Cotton;MT;44052.6;USD;94395313;2142.79
12242;2024.11.30;Vietnam;China;Polyester;MT;44015.377;USD;84195266;1912.86
12345;2024.12.31;Vietnam;China;Polyester;MT;43872.306;USD;82248458;1874.72
10707;2025.06.30;Bangladesh;India;Cotton;MT;42627.324;USD;133990990;3143.31
11408;2025.03.31;Vietnam;China;Polyester;MT;41968.271;USD;81693428;1946.55
6475;2025.05.31;United States;China;Buckles;MT;41618.592;USD;584059974;11140.64
12137;2024.10.31;Vietnam;China;Polyester;MT;41562.729;USD;79347596;1909.1
11412;2025.03.31;Vietnam;China;Nylon;MT;41108.76;USD;308841348;7512.79
10631;2025.05.31;Bangladesh;India;Cotton;MT;40974.907;USD;131375980;3206.25
10859;2024.08.31;Bangladesh;India;Cotton;MT;40943.299;USD;125907885;3075.18
11926;2024.08.31;Vietnam;China;Polyester;MT;39619.91;USD;77173552;1947.85
12349;2024.12.31;Vietnam;China;Nylon;MT;39210.173;USD;236768059;6038.43
10477;2025.03.31;Bangladesh;India;Cotton;MT;38984.867;USD;119389173;3062.45
11825;2024.07.31;Vietnam;China;Polyester;MT;38534.923;USD;75813478;1967.4
11617;2025.05.31;Vietnam;China;Polyester;MT;38507.428;USD;72493830;1882.59
11518;2025.04.30;Vietnam;China;Nylon;MT;37755.33;USD;285634348;7565.4
12032;2024.09.30;Vietnam;China;Polyester;MT;37439.182;USD;72221083;1929.02
12246;2024.11.30;Vietnam;China;Nylon;MT;37407.192;USD;230077445;6150.62
11199;2025.01.31;Vietnam;China;Polyester;MT;37325.076;USD;69094584;1851.16
10553;2025.04.30;Bangladesh;India;Cotton;MT;37248.053;USD;117386640;3151.48
345;2025.02.28;China;Vietnam;Cotton;MT;36891.798;USD;95274490;2582.54
11514;2025.04.30;Vietnam;China;Polyester;MT;36575.487;USD;69937763;1912.15
10403;2025.02.28;Bangladesh;India;Cotton;MT;36438.49;USD;112222120;3079.77
11621;2025.05.31;Vietnam;China;Nylon;MT;35186.761;USD;278101679;7903.59
11722;2025.06.30;Vietnam;China;Polyester;MT;34519.822;USD;66678451;1931.6
11203;2025.01.31;Vietnam;China;Nylon;MT;34295.463;USD;256029289;7465.4
12141;2024.10.31;Vietnam;China;Nylon;MT;33445.316;USD;220804091;6601.94
10705;2025.06.30;Bangladesh;India;Cotton;MT;33103.372;USD;68945079;2082.72
4188;2025.01.31;Japan;China;Buckles;MT;32922.91;USD;183637075;5577.79
10326;2025.01.31;Bangladesh;India;Cotton;MT;32607.09;USD;101239615;3104.83
4299;2025.01.31;India;China;Polyester;MT;31748.454;USD;43126766;1358.39
11175;2024.12.31;Bangladesh;India;Cotton;MT;31702.477;USD;59327627;1871.39
11829;2024.07.31;Vietnam;China;Nylon;MT;31696.55;USD;230979197;7287.2
10629;2025.05.31;Bangladesh;India;Cotton;MT;31618.384;USD;69572016;2200.37
9442;2024.11.30;Japan;China;Buckles;MT;30784.252;USD;174037887;5653.47
10324;2025.01.31;Bangladesh;India;Cotton;MT;30722.48;USD;62112093;2021.71
7344;2024.07.31;Japan;China;Buckles;MT;30450.818;USD;186742703;6132.6
8913;2024.10.31;Japan;China;Buckles;MT;30039.961;USD;169900086;5655.8
11930;2024.08.31;Vietnam;China;Nylon;MT;29999.577;USD;207063317;6902.21
11932;2024.08.31;Vietnam;China;Polyester;MT;29987.41;USD;33023206;1101.24
5760;2025.04.30;Japan;China;Buckles;MT;29637.924;USD;171851818;5798.38
12036;2024.09.30;Vietnam;China;Nylon;MT;29093.657;USD;200646504;6896.57
10551;2025.04.30;Bangladesh;India;Cotton;MT;29045.896;USD;65275722;2247.33
6290;2025.05.31;Japan;China;Buckles;MT;29001.684;USD;170013490;5862.19
12351;2024.12.31;Vietnam;China;Polyester;MT;28992.237;USD;28142937;970.71
9964;2024.12.31;Japan;China;Buckles;MT;28949.454;USD;167500116;5785.95
11726;2025.06.30;Vietnam;China;Nylon;MT;28824.511;USD;212316194;7365.82
12248;2024.11.30;Vietnam;China;Polyester;MT;28641.972;USD;30227306;1055.35
5229;2025.03.31;Japan;China;Buckles;MT;28079.144;USD;146771323;5227.06
11623;2025.05.31;Vietnam;China;Polyester;MT;28053.848;USD;30407562;1083.9
9553;2024.11.30;India;China;Polyester;MT;27659.171;USD;42037291;1519.83
665;2025.03.31;China;Pakistan;Cotton;MT;27382.043;USD;64933940;2371.41
11520;2025.04.30;Vietnam;China;Polyester;MT;27273.549;USD;30804942;1129.48
8383;2024.09.30;Japan;China;Buckles;MT;26999.583;USD;177753758;6583.57
11095;2024.11.30;Bangladesh;India;Cotton;MT;26946.68;USD;51294182;1903.54
7870;2024.08.31;Japan;China;Buckles;MT;26722.058;USD;170849478;6393.57
6817;2025.06.30;Japan;China;Buckles;MT;26336.491;USD;157166680;5967.64
11414;2025.03.31;Vietnam;China;Polyester;MT;25329.633;USD;26834828;1059.42
12143;2024.10.31;Vietnam;China;Polyester;MT;24993.587;USD;26441056;1057.91
666;2025.03.31;China;India;Cotton;MT;24917.079;USD;63694919;2556.28
4705;2025.02.28;Japan;China;Buckles;MT;24848.712;USD;139984043;5633.45
3647;2024.12.31;China;Pakistan;Cotton;MT;24389.919;USD;60262336;2470.79
11302;2025.02.28;Vietnam;China;Polyester;MT;24195.713;USD;43344663;1791.42
5948;2025.04.30;United States;China;Buckles;MT;24167.185;USD;526111559;12104.05
10074;2024.12.31;India;China;Polyester;MT;23739.786;USD;38044992;1602.58
11728;2025.06.30;Vietnam;China;Polyester;MT;23351.499;USD;24675843;1056.71
11831;2024.07.31;Vietnam;China;Polyester;MT;22700.084;USD;25115884;1106.42
14;2025.01.31;China;Pakistan;Cotton;MT;22381.083;USD;53137423;2374.21
9028;2024.10.31;India;China;Polyester;MT;22022.305;USD;38206164;1734.88
343;2025.02.28;China;Pakistan;Cotton;MT;20430.29;USD;47717683;2335.63
12038;2024.09.30;Vietnam;China;Polyester;MT;19797.045;USD;22837587;1153.59
7976;2024.08.31;India;China;Polyester;MT;19642.086;USD;41289476;2102.09
7455;2024.07.31;India;China;Polyester;MT;19501.558;USD;37403629;1917.98
11198;2025.01.31;Bangladesh;China;Polyester;MT;19457.537;USD;31667711;1627.53
11205;2025.01.31;Vietnam;China;Polyester;MT;19422.463;USD;20408564;1050.77
10066;2024.12.31;India;China;Buckles;MT;19150.757;USD;53240837;2780.09
11513;2025.04.30;Bangladesh;China;Polyester;MT;19150.339;USD;32613415;1703.02
4618;2025.02.28;Germany;China;Buckles;MT;18801.833;USD;137018966;7287.53
12136;2024.10.31;Bangladesh;China;Polyester;MT;18686.86;USD;30779001;1647.09
11406;2025.03.31;Vietnam;China;Buckles;MT;18242.956;USD;143113831;7844.88
12343;2024.12.31;Vietnam;China;Buckles;MT;18122.25;USD;123064146;6790.78
7261;2024.07.31;Germany;China;Buckles;MT;17832.401;USD;152390803;8545.73
9020;2024.10.31;India;China;Buckles;MT;17732.168;USD;50374588;2840.86
3300;2024.11.30;China;Pakistan;Cotton;MT;17483.145;USD;42457472;2428.48
12241;2024.11.30;Bangladesh;China;Polyester;MT;17428.234;USD;28275015;1622.37
12245;2024.11.30;Bangladesh;China;Nylon;MT;17402.638;USD;110728122;6362.72
12344;2024.12.31;Bangladesh;China;Polyester;MT;17298.925;USD;28167833;1628.3
8829;2024.10.31;Germany;China;Buckles;MT;17184.417;USD;161810658;9416.13
12140;2024.10.31;Bangladesh;China;Nylon;MT;17147.269;USD;109633059;6393.62
5335;2025.03.31;India;China;Polyester;MT;17121.339;USD;29204113;1705.71
11616;2025.05.31;Bangladesh;China;Polyester;MT;17083.353;USD;29913754;1751.05
8299;2024.09.30;Germany;China;Buckles;MT;17004.942;USD;160483098;9437.44
11407;2025.03.31;Bangladesh;China;Polyester;MT;16993.952;USD;30055456;1768.6
5145;2025.03.31;Germany;China;Buckles;MT;16640.605;USD;138487363;8322.26
6736;2025.06.30;Germany;China;Buckles;MT;16598.821;USD;128995749;7771.38
7968;2024.08.31;India;China;Buckles;MT;16491.018;USD;57156685;3465.93
11721;2025.06.30;Bangladesh;China;Polyester;MT;16252.436;USD;27923513;1718.11
11012;2024.10.31;Bangladesh;India;Cotton;MT;16106.242;USD;31382402;1948.46
11202;2025.01.31;Bangladesh;China;Nylon;MT;16100.876;USD;116053333;7207.89
7447;2024.07.31;India;China;Buckles;MT;16065.708;USD;55601609;3460.89
8489;2024.09.30;India;China;Buckles;MT;15966.624;USD;50984194;3193.17
11306;2025.02.28;Vietnam;China;Nylon;MT;15755.49;USD;118904711;7546.87
4291;2025.01.31;India;China;Buckles;MT;15726.931;USD;49015446;3116.66
6924;2025.06.30;India;China;Buckles;MT;15596.357;USD;47093226;3019.5
12348;2024.12.31;Bangladesh;China;Nylon;MT;15577.942;USD;99093113;6361.12
6209;2025.05.31;Germany;China;Buckles;MT;15372.155;USD;128286198;8345.36
7784;2024.08.31;Germany;China;Buckles;MT;15331.721;USD;142186992;9274.04
5674;2025.04.30;Germany;China;Buckles;MT;15322.157;USD;126418873;8250.72
11308;2025.02.28;Vietnam;China;Polyester;MT;15294.526;USD;15517521;1014.58
11512;2025.04.30;Vietnam;China;Buckles;MT;15260.639;USD;115658763;7578.89
10402;2025.02.28;Vietnam;India;Cotton;MT;15231.971;USD;28042151;1841.01
12240;2024.11.30;Vietnam;China;Buckles;MT;15230.756;USD;106258671;6976.59
4808;2025.02.28;India;China;Buckles;MT;15229.013;USD;44541379;2924.77
11301;2025.02.28;Bangladesh;China;Polyester;MT;15015.479;USD;24431128;1627.06
9359;2024.11.30;Germany;China;Buckles;MT;14940.937;USD;134395479;8995.12
11620;2025.05.31;Bangladesh;China;Nylon;MT;14876.084;USD;99473465;6686.8
8497;2024.09.30;India;China;Polyester;MT;14690.9;USD;28824127;1962.04
11615;2025.05.31;Vietnam;China;Buckles;MT;14564.42;USD;110085795;7558.54
6932;2025.06.30;India;China;Polyester;MT;14558.838;USD;30144447;2070.53
4816;2025.02.28;India;China;Polyester;MT;14539.246;USD;25986712;1787.35
11517;2025.04.30;Bangladesh;China;Nylon;MT;14535.668;USD;100438329;6909.78
10782;2024.07.31;Bangladesh;India;Cotton;MT;14510.879;USD;30221962;2082.71
12035;2024.09.30;Bangladesh;China;Nylon;MT;14229.815;USD;93254203;6553.44
12135;2024.10.31;Vietnam;China;Buckles;MT;14144.495;USD;92141873;6514.33
1992;2024.07.31;China;Pakistan;Cotton;MT;14128.048;USD;34659758;2453.26
4104;2025.01.31;Germany;China;Buckles;MT;14109.235;USD;122798730;8703.43
1003;2025.04.30;China;India;Cotton;MT;13947.458;USD;36189075;2594.67
11824;2024.07.31;Bangladesh;China;Polyester;MT;13927.184;USD;25193495;1808.94
11929;2024.08.31;Bangladesh;China;Nylon;MT;13814.501;USD;92967076;6729.67
11720;2025.06.30;Vietnam;China;Buckles;MT;13810.054;USD;102889363;7450.32
6394;2025.05.31;India;China;Buckles;MT;13802.554;USD;42270964;3062.55
9881;2024.12.31;Germany;China;Buckles;MT;13792.148;USD;124080768;8996.48
7586;2024.07.31;United States;South Korea;Polyester;MT;13750.97;USD;19932859;1449.56
2647;2024.09.30;China;Pakistan;Cotton;MT;13617.11;USD;32530042;2388.91
