report_id;date;importer;exporter;product;uom;volume;currency;value;unit_price
1;2025.01.31;China;India;Silk;MT;1.2;USD;51600;43000
2;2025.01.31;China;Japan;Silk;MT;0.006;USD;1608;268000
3;2025.01.31;China;China;Silk;MT;0.449;USD;45834;102080.18
4;2025.01.31;China;Japan;Silk;MT;1.368;USD;186686;136466.37
5;2025.01.31;China;South Korea;Silk;MT;10.258;USD;100449;9792.26
6;2025.01.31;China;India;Silk;MT;0.221;USD;11161;50502.26
7;2025.01.31;China;Pakistan;Cotton;MT;203.99;USD;385631;1890.44
8;2025.01.31;China;India;Cotton;MT;4229.73;USD;8799964;2080.5
9;2025.01.31;China;Bangladesh;Cotton;MT;6098.41;USD;6491174;1064.4
10;2025.01.31;China;China;Cotton;MT;272.032;USD;1351185;4967.01
11;2025.01.31;China;Indonesia;Cotton;MT;2065.019;USD;5304850;2568.91
12;2025.01.31;China;Japan;Cotton;MT;21.632;USD;261122;12071.1
13;2025.01.31;China;South Korea;Cotton;MT;200.295;USD;665533;3322.76
14;2025.01.31;China;Pakistan;Cotton;MT;22381.083;USD;53137423;2374.21
15;2025.01.31;China;India;Cotton;MT;8544.337;USD;22901087;2680.26
16;2025.01.31;China;Vietnam;Cotton;MT;57469.776;USD;146167305;2543.38
17;2025.01.31;China;Thailand;Cotton;MT;37.601;USD;239075;6358.21
18;2025.01.31;China;Bangladesh;Cotton;MT;1.584;USD;15662;9887.63
19;2025.01.31;China;China;Cotton;MT;37.629;USD;359378;9550.56
20;2025.01.31;China;Indonesia;Cotton;MT;32.286;USD;367566;11384.69
21;2025.01.31;China;Japan;Cotton;MT;85.16;USD;2166880;25444.81
22;2025.01.31;China;South Korea;Cotton;MT;53.516;USD;531716;9935.65
23;2025.01.31;China;Pakistan;Cotton;MT;264.111;USD;983692;3724.54
24;2025.01.31;China;India;Cotton;MT;3.177;USD;85268;26839.16
25;2025.01.31;China;Vietnam;Cotton;MT;519.715;USD;1941070;3734.87
26;2025.01.31;China;Thailand;Cotton;MT;0.235;USD;3172;13497.87
27;2025.01.31;China;Bangladesh;Denim;MT;0.035;USD;420;12000
28;2025.01.31;China;China;Denim;MT;239.205;USD;1012056;4230.91
29;2025.01.31;China;Indonesia;Denim;MT;0.096;USD;1137;11843.75
30;2025.01.31;China;Japan;Denim;MT;71.336;USD;945692;13256.87
31;2025.01.31;China;South Korea;Denim;MT;17.334;USD;191853;11068.02
32;2025.01.31;China;Pakistan;Denim;MT;353.695;USD;1192666;3372.02
33;2025.01.31;China;India;Denim;MT;18.13;USD;98455;5430.5
34;2025.01.31;China;Vietnam;Denim;MT;530.263;USD;2873387;5418.8
35;2025.01.31;China;Thailand;Denim;MT;111.752;USD;997185;8923.2
36;2025.01.31;China;Bangladesh;Denim;MT;0.038;USD;1337;35184.21
37;2025.01.31;China;China;Denim;MT;82.739;USD;418731;5060.87
